Rank,Model,Type,MAE,RMSE,MAPE
1,Hour-Day Average,Baseline,0.8899600934542058,1.1337825348761612,51.46003623076769
2,Naive (Last Value),Baseline,0.8993399339933993,1.2645196325048098,50.75789721829326
3,Hourly Average,Baseline,0.9073209604597195,1.1534338847647985,52.61480342695219
4,LightGBM,ML,0.9675848138402272,1.2078746730073873,61.818964266176046
5,LightGBM,ML,0.973461076758548,1.2104344396282505,61.21845058179981
6,Random Forest,ML,1.000169123726779,1.2275363059337716,63.71073018593798
7,Moving Average (window=48),Baseline,1.0083883388338837,1.2627733640807852,63.08378270862802
8,Random Forest,ML,1.0348969746961258,1.274400655961534,66.9794388690743
9,XGBoost,ML,1.0351399387856914,1.272531688889241,66.78547419487035
10,Moving Average (window=24),Baseline,1.0503300330033003,1.2774825375179757,67.82450789721828
